"text";"created";"screenName"
"E tá mentindo? Flamengo pode n ter o melhor futebol, mas é o que mais tem torcida, l que mais surpreende, e o melho… https://t.co/k85u3tW0BI";2019-12-17 23:56:55;"RAFAGESTE"
"Meu time não perdeu nenhuma vez no futebol hoje<U+0001F645>";2019-12-17 23:56:48;"deivindkc"
"@ricapriotti QUER SABER? MUITO ARTISTA PARA TÉCNICO DE FUTEBOL.
TALVEZ DESSE CERTO NO
F L U M I N E N S É. 
SÓ  PRE… https://t.co/g3YmdRHhUO";2019-12-17 23:56:31;"FeijoGilson"
"@futebol_info Imagina em <U+0001F602><U+0001F602><U+0001F602>";2019-12-17 23:56:26;"Luann_Crf_"
"Vocês tão entendendo que o presidente tem a prioridade de visitar times de futebol e não governar o país?";2019-12-17 23:56:16;"Misslying"
"@Nanda_Nazare @mister_ofc @gualincrf @futebol_info DESAFIO 

PROCURE O FLAMENGO NA LISTA DE CAMPEOES MUNDIAL… https://t.co/fZO8kVzNn7";2019-12-17 23:56:02;"RestritoAdriano"
"NUNCA será só futebol, brother. https://t.co/hZSnRcQfnj";2019-12-17 23:55:51;"lovismils"
"Diego \"conserta\" Flamengo no segundo tempo e repete roteiro em nova decisão https://t.co/8OGSUH7k0K";2019-12-17 23:55:50;"aEduardocGomes"
"Aliás, essa é outra manifestação de racismo no futebol brasileiro. Tem jogador negro, tem torcedor negro. Porém, té… https://t.co/sfM0UKkIDH";2019-12-17 23:55:48;"LAEFarinatti"
"Desculpa de coração ao vascaíno de esquerda mas o vascaíno médio hoje é o bolsominion do futebol brasileiro, é inac… https://t.co/MdEnoKZf2c";2019-12-17 23:55:41;"naoestive"
"eu não aguento mais essa vida meu, sério eu nunca tive tanta vontade de desistir de tudo igual eu tô agora, escola… https://t.co/18tCtLwxhZ";2019-12-17 23:55:36;"Ls7_biron"
"@CeboIinhaaa E quem aqui tá falando em representatividade no futebol?

Coloca o Mundial de hoje no Rio e teu argume… https://t.co/3ZYZMWFR9l";2019-12-17 23:55:32;"fabiomamuller"
"@futebol_info Galvão";2019-12-17 23:55:19;"jeffcarlos2001J"
"Tá favorável um futebol hj";2019-12-17 23:55:18;"vivaz25"
"@FoxSportsBrasil Andrés tem pensamento pequeno, nem parece q foi com ele q o Corinthians cresceu! O futebol brasile… https://t.co/ilIVUj4KUj";2019-12-17 23:55:12;"jonathangoess_"
"vou voltar com o futebol nessas férias, ou tentar...";2019-12-17 23:54:55;"s_hellenn"
"Menos um e contando https://t.co/c3FdjE9D9V";2019-12-17 23:54:55;"vv_cunha"
"@SantosEFClube Os caras acham q o futebol é simples assim hahahaha. Alguém precisa explicar pros caras q a vida real é diferente do FIFA.";2019-12-17 23:54:39;"ArthurRiul"
